year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,12,AA,American Airlines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",181.00,65.00,27.70,0.00,3.70,0.00,33.60,0.00,1.00,5100.00,1803.00,0.00,173.00,0.00,3124.00
2025,12,AA,American Airlines Network,AGS,"Augusta, GA: Augusta Regional at Bush Field",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,12,AA,American Airlines Network,ALB,"Albany, NY: Albany International",105.00,30.00,9.23,1.00,4.45,0.00,15.33,2.00,1.00,1975.00,443.00,102.00,111.00,0.00,1319.00
2025,12,AA,American Airlines Network,AMA,"Amarillo, TX: Rick Husband Amarillo International",1.00,1.00,0.49,0.00,0.00,0.00,0.51,0.00,0.00,117.00,57.00,0.00,0.00,0.00,60.00
2025,12,AA,American Airlines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",16.00,8.00,3.79,0.00,3.20,0.00,1.01,0.00,0.00,598.00,403.00,0.00,112.00,0.00,83.00
2025,12,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",498.00,124.00,53.82,0.26,11.84,0.48,57.60,1.00,0.00,8129.00,3165.00,9.00,855.00,64.00,4036.00
2025,12,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1049.00,311.00,105.05,6.76,49.93,0.00,149.26,3.00,0.00,23327.00,7769.00,1252.00,2232.00,0.00,12074.00
2025,12,AA,American Airlines Network,AVL,"Asheville, NC: Asheville Regional",31.00,11.00,4.22,0.00,0.50,0.00,6.28,0.00,0.00,957.00,263.00,0.00,15.00,0.00,679.00
2025,12,AA,American Airlines Network,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",34.00,9.00,4.14,0.00,0.41,0.00,4.46,0.00,0.00,523.00,126.00,0.00,25.00,0.00,372.00
2025,12,AA,American Airlines Network,BDL,"Hartford, CT: Bradley International",242.00,70.00,22.76,0.05,6.22,0.20,40.77,1.00,3.00,4563.00,1238.00,4.00,244.00,28.00,3049.00
2025,12,AA,American Airlines Network,BFL,"Bakersfield, CA: Meadows Field",54.00,24.00,7.41,0.20,1.61,0.00,14.78,0.00,2.00,2764.00,976.00,3.00,68.00,0.00,1717.00
2025,12,AA,American Airlines Network,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",74.00,21.00,6.28,0.00,3.83,0.00,10.89,0.00,0.00,1279.00,352.00,0.00,119.00,0.00,808.00
2025,12,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",699.00,180.00,53.04,0.93,29.43,0.02,96.59,1.00,0.00,12221.00,3401.00,337.00,1136.00,1.00,7346.00
2025,12,AA,American Airlines Network,BOI,"Boise, ID: Boise Air Terminal",62.00,24.00,9.36,0.00,2.96,0.00,11.68,0.00,0.00,1823.00,951.00,0.00,93.00,0.00,779.00
2025,12,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1284.00,333.00,99.58,5.43,67.47,0.00,160.52,4.00,1.00,23613.00,7481.00,906.00,3076.00,0.00,12150.00
2025,12,AA,American Airlines Network,BUF,"Buffalo, NY: Buffalo Niagara International",163.00,68.00,21.61,0.42,13.46,0.00,32.51,4.00,0.00,5278.00,1470.00,65.00,611.00,0.00,3132.00
