airport,datetime,visibility,wind_speed,storm,ifr,severity,bad_weather
OPST,2026-04-16T17:30:00.000Z,2.17,10.0,0,1,1,0
VNKT,2026-04-16T17:30:00.000Z,4.35,5.0,0,0,0,0
VASU,2026-04-16T17:30:00.000Z,3.73,5.0,0,0,0,0
OPKC,2026-04-16T17:30:00.000Z,3.11,7.0,0,0,0,0
OPLA,2026-04-16T17:30:00.000Z,2.49,8.0,0,1,1,0
CYRQ,2026-04-16T17:29:00.000Z,8.0,3.0,1,1,3,1
CYQA,2026-04-16T17:29:00.000Z,9.0,7.0,1,0,2,1
CYBC,2026-04-16T17:29:00.000Z,9.0,11.0,0,1,1,0
CYGT,2026-04-16T17:28:00.000Z,0.25,17.0,1,1,3,1
PATG,2026-04-16T17:28:00.000Z,0.25,3.0,0,1,1,0
CYCK,2026-04-16T17:28:00.000Z,6.0,10.0,1,0,2,1
CYQW,2026-04-16T17:28:00.000Z,1.75,12.0,1,1,3,1
CYEN,2026-04-16T17:28:00.000Z,9.0,13.0,0,1,1,0
PAII,2026-04-16T17:28:00.000Z,1.75,0.0,1,1,3,1
PAKI,2026-04-16T17:27:00.000Z,0.5,12.0,0,1,1,0
PASL,2026-04-16T17:27:00.000Z,1.75,0.0,0,1,1,0
CYQF,2026-04-16T17:27:00.000Z,6.0,12.0,1,0,2,1
CYRJ,2026-04-16T17:27:00.000Z,1.0,0.0,1,1,3,1
CYKF,2026-04-16T17:27:00.000Z,9.0,8.0,0,0,0,0
PAHC,2026-04-16T17:27:00.000Z,2.5,4.0,1,1,3,1
CZVL,2026-04-16T17:27:00.000Z,9.0,4.0,0,0,0,0
CYMT,2026-04-16T17:27:00.000Z,5.0,0.0,0,0,0,0
CZPC,2026-04-16T17:26:00.000Z,1.0,6.0,1,1,3,1
KSUE,2026-04-16T17:26:00.000Z,3.0,6.0,0,0,0,0
MUCM,2026-04-16T17:26:00.000Z,4.97,12.0,0,0,0,0
PAGA,2026-04-16T17:26:00.000Z,1.0,9.0,1,1,3,1
PALG,2026-04-16T17:26:00.000Z,1.75,4.0,1,1,3,1
PANU,2026-04-16T17:26:00.000Z,1.0,6.0,1,1,3,1
KERI,2026-04-16T17:26:00.000Z,6.0,9.0,0,0,0,0
PACD,2026-04-16T17:26:00.000Z,1.0,9.0,0,1,1,0
EHFD,2026-04-16T17:25:00.000Z,5.59,15.0,0,0,0,0
KFNT,2026-04-16T17:25:00.000Z,8.0,8.0,1,1,3,1
CYDN,2026-04-16T17:25:00.000Z,0.25,17.0,1,1,3,1
PFKO,2026-04-16T17:25:00.000Z,9.0,8.0,1,0,2,1
EHHW,2026-04-16T17:25:00.000Z,4.35,7.0,0,0,0,0
EHKV,2026-04-16T17:25:00.000Z,5.59,14.0,0,0,0,0
KGVW,2026-04-16T17:25:00.000Z,5.0,12.0,0,0,0,0
EHMG,2026-04-16T17:25:00.000Z,4.35,17.0,0,0,0,0
EHPG,2026-04-16T17:25:00.000Z,5.59,19.0,0,0,0,0
KBZN,2026-04-16T17:24:00.000Z,1.25,3.0,1,1,3,1
PAQH,2026-04-16T17:24:00.000Z,0.5,12.0,0,1,1,0
PAHL,2026-04-16T17:24:00.000Z,1.5,13.0,1,1,3,1
CYXR,2026-04-16T17:24:00.000Z,6.0,4.0,0,0,0,0
CYPR,2026-04-16T17:24:00.000Z,9.0,5.0,1,0,2,1
SABE,2026-04-16T17:23:00.000Z,3.11,6.0,0,1,1,0
KMBS,2026-04-16T17:23:00.000Z,8.0,8.0,1,0,2,1
CYBG,2026-04-16T17:23:00.000Z,3.0,17.0,1,0,2,1
