rank,sequence,airport_A,airport_B,cascade_probability,risk_level
1,MIA → DFW → CID,MIA,CID,0.7437,CRITICAL
2,MIA → DFW → ICT,MIA,ICT,0.633,CRITICAL
3,MIA → DFW → ALB,MIA,ALB,0.6173,CRITICAL
4,JFK → DFW → CID,JFK,CID,0.5889,HIGH
5,EWR → DFW → CID,EWR,CID,0.5815,HIGH
6,CLT → DFW → CID,CLT,CID,0.5619,HIGH
7,BHM → DFW → EYW,BHM,EYW,0.5617,HIGH
8,ORD → DFW → GUC,ORD,GUC,0.5612,HIGH
9,BHM → DFW → SAV,BHM,SAV,0.5556,HIGH
10,MIA → DFW → LIT,MIA,LIT,0.55,HIGH
11,BHM → DFW → MDT,BHM,MDT,0.5492,HIGH
12,PNS → DFW → CID,PNS,CID,0.54,HIGH
13,BHM → DFW → SAT,BHM,SAT,0.5352,HIGH
14,SYR → DFW → CID,SYR,CID,0.5325,HIGH
15,BHM → DFW → SJU,BHM,SJU,0.5318,HIGH
16,BHM → DFW → BUR,BHM,BUR,0.5301,HIGH
17,BHM → DFW → CID,BHM,CID,0.5288,HIGH
18,MFE → DFW → CID,MFE,CID,0.5219,HIGH
19,PNS → DFW → MDT,PNS,MDT,0.5218,HIGH
20,PHL → DFW → CID,PHL,CID,0.5184,HIGH
21,BHM → DFW → OMA,BHM,OMA,0.5184,HIGH
22,MIA → DFW → BHM,MIA,BHM,0.5182,HIGH
23,CLT → DFW → CAE,CLT,CAE,0.5182,HIGH
24,BHM → DFW → ALB,BHM,ALB,0.5179,HIGH
25,BHM → DFW → MFE,BHM,MFE,0.5135,HIGH
26,BHM → DFW → LIT,BHM,LIT,0.5124,HIGH
27,EYW → DFW → GUC,EYW,GUC,0.5119,HIGH
28,EYW → DFW → ALB,EYW,ALB,0.5111,HIGH
29,MCO → DFW → LIT,MCO,LIT,0.509,HIGH
30,EYW → DFW → DAB,EYW,DAB,0.5074,HIGH
31,AUS → DFW → CID,AUS,CID,0.5067,HIGH
32,ALB → DFW → CID,ALB,CID,0.5052,HIGH
33,ORD → DFW → ICT,ORD,ICT,0.5035,HIGH
34,LAX → DFW → GUC,LAX,GUC,0.4979,HIGH
35,HDN → DFW → ECP,HDN,ECP,0.497,HIGH
36,MCO → DFW → CID,MCO,CID,0.4944,HIGH
37,BHM → DFW → ECP,BHM,ECP,0.4935,HIGH
38,MIA → DFW → MFE,MIA,MFE,0.4925,HIGH
39,STL → DFW → CID,STL,CID,0.4905,HIGH
40,CAE → DFW → GSP,CAE,GSP,0.4893,HIGH
41,ORD → DFW → ALB,ORD,ALB,0.4887,HIGH
42,ILM → DFW → CID,ILM,CID,0.4875,HIGH
43,EYW → DFW → SJU,EYW,SJU,0.4864,HIGH
44,CAE → DFW → SAV,CAE,SAV,0.4859,HIGH
45,PNS → DFW → LIT,PNS,LIT,0.4854,HIGH
46,PNS → DFW → MFE,PNS,MFE,0.4854,HIGH
47,BHM → DFW → RIC,BHM,RIC,0.4828,HIGH
48,AUS → DFW → ECP,AUS,ECP,0.4822,HIGH
49,BHM → DFW → MSY,BHM,MSY,0.4808,HIGH
